global_task_id,station_name,local_task_id,data_size_byte,compute_density_FLOPs_per_byte,delay_sensitivity,memory_usage_byte,deadline_second,sampling_rate_Hz,task_type,priority,dependency_task_id
59,M94,9,827504.79,5.7e-05,1.1679,1830467.04,1309.76,200.0,denoising,low,
60,M94,0,1415577.37,1.8e-05,2.0778,1709918.3,2054.78,200.0,signal_enhancement,low,
61,M94,1,561189.72,2.4e-05,1.2093,1481075.3,2209.38,200.0,denoising,low,
62,M94,2,1163158.59,5.5e-05,1.793,2745713.78,2175.04,200.0,denoising,low,
63,M94,3,1733369.06,2.1e-05,1.8067,1705410.31,1535.01,200.0,signal_enhancement,low,2.0
64,M94,4,1359985.28,2.2e-05,2.4326,2284371.52,1314.0,200.0,denoising,low,
65,M94,5,887674.47,2.8e-05,1.4881,1595924.09,1516.49,200.0,denoising,low,
66,M94,6,1063998.19,4.3e-05,1.9916,2681943.36,1130.06,200.0,denoising,low,
67,M94,7,1690593.57,1.9e-05,2.7525,1498553.99,1704.13,200.0,signal_enhancement,low,
68,M94,8,1884570.01,2.7e-05,1.3993,1423522.51,1357.82,200.0,signal_enhancement,low,
69,M94,9,1391989.11,3.8e-05,1.256,1757426.47,1037.19,200.0,signal_enhancement,low,
70,M90,0,1965688.56,4.7e-05,0.1796,1706548.04,2659.25,200.0,signal_enhancement,medium,
71,M90,1,1823072.0,5.4e-05,0.1979,2064010.25,1655.23,200.0,signal_enhancement,medium,0.0
72,M90,2,1606719.84,5.7e-05,0.205,2021980.65,2219.65,200.0,denoising,medium,
73,M90,3,1933365.15,4.1e-05,0.3082,264565.25,956.03,200.0,denoising,low,
74,M90,4,1432683.18,6.9e-05,0.186,1504593.01,903.4,200.0,denoising,medium,1.0
75,M90,5,1567155.45,7e-05,0.2733,1700056.25,1361.63,200.0,signal_enhancement,low,
76,M90,6,1893699.44,6.1e-05,0.1465,1636338.01,941.03,200.0,signal_enhancement,high,
77,M90,7,2008386.27,4.7e-05,0.2277,1797982.06,1600.22,200.0,signal_enhancement,medium,
78,M90,8,961385.43,2.3e-05,0.1847,1138755.77,1111.55,200.0,signal_enhancement,medium,4.0
79,M90,9,974803.37,5.3e-05,0.2141,2372043.28,1173.21,200.0,signal_enhancement,medium,
80,M90,0,1992723.31,2.6e-05,2.1374,1548427.81,1466.41,200.0,denoising,low,
81,M90,1,2220165.3,2.3e-05,1.8842,2295199.42,1175.35,200.0,signal_enhancement,low,
82,M90,2,2652607.05,3.1e-05,2.3409,2699038.73,1540.32,200.0,denoising,low,
83,M90,3,1393136.58,1.5e-05,2.4218,1637627.53,1404.38,200.0,signal_enhancement,low,
84,M90,4,1307657.01,1.9e-05,3.5945,2091189.48,1434.01,200.0,signal_enhancement,low,
85,M90,5,1013269.33,2.7e-05,3.3742,2325677.14,1553.3,200.0,denoising,low,
86,M90,6,1180460.63,2.2e-05,1.7312,2046176.26,1232.43,200.0,denoising,low,
87,M90,7,1545977.21,2.5e-05,3.0044,1645409.05,1243.59,200.0,signal_enhancement,low,
88,M90,8,1620449.63,2.5e-05,2.4371,1539295.08,1735.06,200.0,denoising,low,
89,M90,9,1269524.7,3.6e-05,2.7345,2246760.66,1796.14,200.0,signal_enhancement,low,
90,M90,0,1486745.23,1.7e-05,2.228,1462585.51,1123.54,200.0,denoising,low,
91,M90,1,1589363.19,2.8e-05,2.6055,1806674.33,1699.27,200.0,signal_enhancement,low,
92,M90,2,1309991.97,4.8e-05,2.0307,2271025.86,1109.96,200.0,signal_enhancement,low,
93,M90,3,1101559.07,4.3e-05,1.5789,1946431.44,1976.56,200.0,signal_enhancement,low,0.0
94,M90,4,1186021.42,2.6e-05,2.573,988746.95,877.87,200.0,denoising,low,
95,M90,5,988152.09,3.2e-05,1.8183,1193388.42,1253.64,200.0,signal_enhancement,low,
96,M90,6,498855.11,3.4e-05,2.3032,1926737.18,735.16,200.0,denoising,low,
97,M90,7,1344149.69,2.2e-05,2.1874,1905904.6,1947.02,200.0,denoising,low,
98,M90,8,2132742.67,3.1e-05,2.5615,2355990.85,2199.92,200.0,signal_enhancement,low,
99,M90,9,1291364.98,2.2e-05,2.3949,1725625.83,1193.86,200.0,denoising,low,
100,M88,0,1530900.49,0.001137,0.8135,2460015.82,486.5,200.0,signal_enhancement,low,
101,M88,1,2459809.52,0.001369,1.4432,2151673.86,1613.37,200.0,denoising,low,
102,M88,2,1707071.12,0.000864,1.2005,2487004.01,2099.07,200.0,denoising,low,
103,M88,3,1760024.01,0.000641,1.0913,839728.28,1122.85,200.0,signal_enhancement,low,
104,M88,4,1649368.72,0.001124,1.0974,2133020.87,2424.32,200.0,denoising,low,
105,M88,5,1926266.05,0.000717,1.3077,2389325.2,1375.99,200.0,signal_enhancement,low,2.0
106,M88,6,1342803.06,0.001233,1.1838,2600606.17,1862.84,200.0,signal_enhancement,low,
107,M88,7,1442485.5,0.000991,1.2451,3041121.33,1366.85,200.0,denoising,low,
108,M88,8,1854214.67,0.000868,1.4668,2405950.49,1773.21,200.0,denoising,low,
109,M88,9,1353139.57,0.001997,1.1791,2089877.88,1743.77,200.0,signal_enhancement,low,
110,M93,0,2217356.99,4.9e-05,1.3851,1009151.32,1616.55,200.0,denoising,low,
111,M93,1,1288127.35,6e-05,1.3714,2194616.1,512.18,200.0,denoising,low,0.0
112,M93,2,2649174.88,6.9e-05,1.3485,2253934.18,2211.05,200.0,signal_enhancement,low,
113,M93,3,1873399.79,4.4e-05,1.009,1250681.29,1938.47,200.0,denoising,low,
114,M93,4,2009382.19,5.2e-05,1.2204,1539167.17,1931.61,200.0,signal_enhancement,low,1.0
115,M93,5,1115150.25,5.1e-05,1.282,1721686.82,1962.51,200.0,denoising,low,
116,M93,6,2046345.25,6e-05,0.9468,1625070.71,2629.35,200.0,denoising,low,
117,M93,7,1831858.61,6.4e-05,1.5998,1012113.71,2205.91,200.0,denoising,low,
118,M93,8,1489446.39,4.4e-05,0.6779,291870.4,1381.5,200.0,signal_enhancement,low,
119,M93,9,719059.92,5.5e-05,1.5818,1208829.92,1252.89,200.0,denoising,low,
120,M90,0,1649823.99,6.6e-05,1.0328,1673707.93,1798.89,200.0,denoising,low,
121,M90,1,1119929.56,5.1e-05,1.422,1789424.31,1561.42,200.0,denoising,low,
122,M90,2,839519.01,6.1e-05,1.587,2571291.92,1838.93,200.0,signal_enhancement,low,
123,M90,3,1868745.41,7.6e-05,1.3119,1882332.37,1943.7,200.0,denoising,low,
124,M90,4,1483269.53,7.7e-05,2.1993,2041365.36,2023.59,200.0,denoising,low,
125,M90,5,1342425.09,9e-05,2.3074,1959742.16,2611.34,200.0,denoising,low,
126,M90,6,1371908.63,9.3e-05,1.6616,1385354.89,2752.72,200.0,denoising,low,4.0
127,M90,7,1820108.87,6e-05,1.3783,1471375.33,1675.49,200.0,denoising,low,
128,M90,8,2473126.82,7.4e-05,1.1843,2789055.12,1899.1,200.0,signal_enhancement,low,
129,M90,9,2081521.71,0.000108,2.3484,345132.37,1678.76,200.0,signal_enhancement,low,
130,M93,0,2000390.88,1.5e-05,2.5133,1776413.16,1113.69,200.0,signal_enhancement,low,
131,M93,1,597746.29,7e-06,2.8632,2318966.02,1816.19,200.0,signal_enhancement,low,
132,M93,2,1851378.07,6e-06,2.0744,3017872.22,1605.55,200.0,signal_enhancement,low,
133,M93,3,2034959.74,1.9e-05,2.356,2305849.21,1875.58,200.0,denoising,low,
134,M93,4,1302583.13,1.1e-05,1.9695,2211179.46,1738.92,200.0,signal_enhancement,low,
135,M93,5,1162178.4,2.2e-05,2.9522,3133752.83,1228.91,200.0,signal_enhancement,low,
136,M93,6,1791979.93,6e-06,1.703,2361000.15,1559.34,200.0,signal_enhancement,low,
137,M93,7,1544756.16,2.2e-05,2.6147,1739664.9,1568.36,200.0,signal_enhancement,low,
138,M93,8,1359580.88,1.9e-05,3.2076,1910633.08,2029.09,200.0,signal_enhancement,low,
139,M93,9,2347801.18,1.1e-05,2.7449,2379399.91,1773.96,200.0,denoising,low,
140,M93,0,1548786.48,3.5e-05,1.0206,1459885.02,946.64,200.0,signal_enhancement,low,
141,M93,1,2338529.27,2.8e-05,1.2969,3178597.47,1311.58,200.0,signal_enhancement,low,
142,M93,2,1514873.39,1.9e-05,1.4539,1558928.54,954.85,200.0,denoising,low,
143,M93,3,1529930.18,1.9e-05,1.8672,3282650.74,832.19,200.0,signal_enhancement,low,1.0
144,M93,4,1711996.93,6e-06,2.0235,1964332.56,2378.93,200.0,signal_enhancement,low,
145,M93,5,1196246.98,1e-05,2.7343,2252369.34,1061.39,200.0,denoising,low,
146,M93,6,1587277.32,2.3e-05,1.6591,2945654.17,1676.3,200.0,signal_enhancement,low,3.0
147,M93,7,1566550.1,1.9e-05,1.9731,1497742.94,609.02,200.0,signal_enhancement,low,
148,M93,8,1362934.38,1.3e-05,1.9445,2267110.14,1722.57,200.0,signal_enhancement,low,
149,M93,9,2442670.41,1.9e-05,0.8271,1949871.61,2642.81,200.0,denoising,low,
150,M93,0,1277776.7,8.8e-05,1.7317,2341069.09,1569.77,200.0,denoising,low,
151,M93,1,1996444.1,8.1e-05,2.3115,2136702.1,1125.61,200.0,denoising,low,
152,M93,2,1991767.71,6.8e-05,2.138,1793111.72,1991.33,200.0,denoising,low,
153,M93,3,1584308.37,0.000133,3.8308,2245493.19,1754.79,200.0,denoising,low,
154,M93,4,1186904.41,0.000124,1.0975,1276937.59,2237.15,200.0,signal_enhancement,low,
155,M93,5,2508860.77,0.000106,2.1729,2129961.48,2518.56,200.0,denoising,low,
156,M93,6,1321936.35,4.5e-05,1.1278,2051366.92,886.51,200.0,signal_enhancement,low,
157,M93,7,1926830.45,7.9e-05,2.1596,1396216.32,1094.11,200.0,signal_enhancement,low,
158,M93,8,2028461.23,0.000142,2.0615,2387562.07,1250.84,200.0,signal_enhancement,low,
159,M93,9,1616064.92,0.000114,1.7992,2340982.42,1260.57,200.0,signal_enhancement,low,
160,M88,0,1227296.09,3e-06,0.852,2278209.64,1529.68,200.0,denoising,low,
161,M88,1,2103004.07,3e-06,0.8679,1629041.21,1341.88,200.0,signal_enhancement,low,
162,M88,2,1529452.48,6e-06,1.428,962247.76,2062.52,200.0,signal_enhancement,low,
163,M88,3,1346818.54,5e-06,0.2831,2243420.73,1259.13,200.0,denoising,low,
164,M88,4,1918813.04,4e-06,1.4288,2098465.66,1623.72,200.0,denoising,low,
165,M88,5,947162.08,3e-06,0.7202,2382634.49,1261.03,200.0,denoising,low,
166,M88,6,1127889.61,4e-06,1.2478,1890445.11,1382.34,200.0,signal_enhancement,low,
167,M88,7,1656854.7,4e-06,1.7481,1992499.95,1820.09,200.0,signal_enhancement,low,
168,M88,8,2631804.06,5e-06,1.2244,1851300.4,1116.43,200.0,signal_enhancement,low,
169,M88,9,1559709.51,7e-06,1.1713,924706.33,2253.58,200.0,denoising,low,
170,M94,0,1541784.36,6.6e-05,0.9226,2556102.21,2208.36,200.0,denoising,low,
171,M94,1,2647562.86,2.8e-05,1.14,2251037.63,1409.04,200.0,denoising,low,
172,M94,2,1834552.42,2e-05,0.8833,1414893.68,1410.7,200.0,denoising,low,
173,M94,3,1034198.22,5.2e-05,0.9887,3824855.45,985.0,200.0,signal_enhancement,low,
174,M94,4,1011260.24,6.2e-05,0.783,1878651.59,1956.94,200.0,signal_enhancement,low,
175,M94,5,1742620.46,4e-05,0.7868,1889566.54,1773.23,200.0,signal_enhancement,low,
176,M94,6,809968.05,3.4e-05,0.9097,2315709.7,2218.4,200.0,signal_enhancement,low,
177,M94,7,2282384.76,4.1e-05,0.7718,1315106.16,1077.32,200.0,signal_enhancement,low,
178,M94,8,1819617.52,2.7e-05,0.6377,2267273.46,1694.53,200.0,signal_enhancement,low,
179,M94,9,1953419.81,5.2e-05,1.0195,2542242.41,1809.07,200.0,signal_enhancement,low,6.0
180,M88,0,2836904.6,0.000176,2.6885,1711884.54,1327.49,200.0,signal_enhancement,low,
181,M88,1,1748863.74,9.4e-05,1.9972,1350920.18,1291.33,200.0,denoising,low,
182,M88,2,2067818.94,0.000124,1.1069,2485235.47,2472.5,200.0,signal_enhancement,low,
183,M88,3,1031603.28,9.1e-05,2.199,2018630.15,1935.67,200.0,signal_enhancement,low,
184,M88,4,1659367.27,8.6e-05,1.7535,1914361.21,2122.67,200.0,denoising,low,
185,M88,5,1377484.2,0.000152,1.8281,1993201.86,1289.99,200.0,denoising,low,
186,M88,6,1422792.41,6.8e-05,1.3747,1688824.6,2087.74,200.0,signal_enhancement,low,
187,M88,7,1893265.1,0.000152,2.237,1711760.06,1953.32,200.0,signal_enhancement,low,
188,M88,8,1268121.2,8.2e-05,2.4118,2693404.53,2822.48,200.0,signal_enhancement,low,
189,M88,9,1536179.5,0.000152,1.8878,2092158.59,1890.22,200.0,denoising,low,
190,M93,0,821025.18,2.3e-05,1.5782,1531991.64,1903.92,200.0,signal_enhancement,low,
191,M93,1,1790323.65,1.7e-05,2.0538,2106058.05,2038.91,200.0,denoising,low,
192,M93,2,2171827.33,1.9e-05,1.6236,1629167.78,2000.27,200.0,denoising,low,
193,M93,3,1194656.51,2.8e-05,1.613,1720508.97,2437.34,200.0,denoising,low,
194,M93,4,2200309.42,2.6e-05,1.7395,1925740.47,1311.15,200.0,denoising,low,
195,M93,5,1262197.01,2.1e-05,2.0584,2302941.5,1989.96,200.0,denoising,low,
196,M93,6,708493.54,3e-05,0.339,1772114.73,1767.19,200.0,denoising,low,2.0
197,M93,7,1588600.83,2.2e-05,2.0055,1340162.03,2041.19,200.0,denoising,low,
198,M93,8,1300980.67,2.3e-05,2.9978,1957557.57,2350.51,200.0,signal_enhancement,low,
199,M93,9,1650980.98,2.9e-05,1.5102,1575027.97,1790.3,200.0,signal_enhancement,low,
200,M94,0,1468218.44,2.8e-05,3.0905,2505219.52,2164.29,200.0,signal_enhancement,low,
201,M94,1,2034899.01,1.6e-05,3.0954,2295228.78,766.26,200.0,denoising,low,
202,M94,2,1814411.92,2.8e-05,3.0058,1404881.97,1577.58,200.0,signal_enhancement,low,
203,M94,3,1522778.81,2.2e-05,2.2408,2677424.04,1718.41,200.0,signal_enhancement,low,
204,M94,4,2267086.79,1.9e-05,2.4295,2374741.19,1600.55,200.0,denoising,low,
205,M94,5,2305980.88,1.5e-05,3.8587,1839600.21,1402.83,200.0,signal_enhancement,low,
206,M94,6,1561747.96,1.7e-05,2.9125,1356636.25,1643.8,200.0,denoising,low,
207,M94,7,1862957.22,2.6e-05,2.7828,2471458.5,1688.5,200.0,denoising,low,
208,M94,8,792346.65,2.7e-05,2.405,313338.81,1208.98,200.0,denoising,low,
209,M94,9,1562166.26,2.2e-05,1.9619,2533598.8,1852.64,200.0,signal_enhancement,low,2.0
210,M90,0,2129498.21,3.2e-05,1.7116,2181815.85,1758.49,200.0,denoising,low,
211,M90,1,1139282.32,2.2e-05,1.5091,1912595.63,1098.89,200.0,denoising,low,
212,M90,2,1952699.97,2.9e-05,1.8837,1594689.27,1420.4,200.0,denoising,low,0.0
213,M90,3,1228172.96,2.1e-05,2.4135,2576918.36,1577.37,200.0,signal_enhancement,low,
214,M90,4,1672358.71,2.7e-05,1.4156,1470931.98,953.57,200.0,signal_enhancement,low,1.0
215,M90,5,754490.34,2.7e-05,1.0875,3060246.21,2770.72,200.0,denoising,low,
216,M90,6,1069712.2,2.5e-05,0.7745,2349001.19,948.87,200.0,denoising,low,
217,M90,7,1840720.8,2.8e-05,2.4734,1683620.9,1474.86,200.0,denoising,low,
218,M90,8,2160059.76,2.9e-05,2.4999,2171578.46,2224.35,200.0,denoising,low,5.0
219,M90,9,1926943.04,2.1e-05,1.6433,1777574.25,2184.45,200.0,denoising,low,
220,M90,0,1252141.99,2.1e-05,1.1998,2145821.55,1532.64,200.0,signal_enhancement,low,
221,M90,1,1228908.83,2.8e-05,2.1306,3028143.99,2054.33,200.0,denoising,low,
222,M90,2,1345662.91,2.3e-05,1.7282,2604129.83,1850.94,200.0,signal_enhancement,low,
223,M90,3,1308390.09,3.6e-05,1.3313,2972945.78,1585.44,200.0,signal_enhancement,low,
224,M90,4,1417391.97,1.8e-05,1.447,1259570.23,1273.27,200.0,signal_enhancement,low,
225,M90,5,1138716.98,2.9e-05,1.8256,1542761.38,1443.07,200.0,denoising,low,
226,M90,6,1859662.98,4.2e-05,2.3607,833114.76,1375.88,200.0,denoising,low,
227,M90,7,1777793.25,3.3e-05,1.2349,2741015.88,1417.62,200.0,signal_enhancement,low,
228,M90,8,832911.91,2.9e-05,1.0996,2336175.54,1511.04,200.0,signal_enhancement,low,
229,M90,9,2068927.92,3.4e-05,2.0023,3080504.43,2214.55,200.0,denoising,low,
230,M90,0,1810350.94,4e-05,1.1506,2219763.92,1461.88,200.0,signal_enhancement,low,
231,M90,1,1951287.27,5.1e-05,1.9359,1134886.63,1616.12,200.0,signal_enhancement,low,
232,M90,2,1576498.97,3e-05,1.6949,2317440.84,1033.35,200.0,denoising,low,
233,M90,3,1572224.96,4.3e-05,1.0862,1979911.78,1945.35,200.0,signal_enhancement,low,
234,M90,4,2095036.6,2.1e-05,2.1149,1864631.28,1999.97,200.0,denoising,low,
235,M90,5,1923791.65,4.5e-05,1.2837,2591522.18,1876.48,200.0,denoising,low,
236,M90,6,1771569.45,4.2e-05,1.8166,2427442.49,802.55,200.0,denoising,low,
237,M90,7,2250060.13,3.2e-05,1.0331,2269438.4,1573.58,200.0,denoising,low,6.0
238,M90,8,1346547.72,3.4e-05,1.7289,2615355.88,2133.98,200.0,denoising,low,
239,M90,9,1835430.43,4.4e-05,1.7036,2577609.17,1596.63,200.0,signal_enhancement,low,
240,M88,0,1947479.71,3.8e-05,2.6042,2402524.9,1964.9,200.0,denoising,low,
241,M88,1,1928321.49,2.2e-05,2.1254,1758572.21,1638.52,200.0,signal_enhancement,low,
242,M88,2,1021119.4,2.6e-05,1.7275,2505936.38,1025.78,200.0,signal_enhancement,low,
243,M88,3,2865884.33,5.3e-05,1.8072,1375242.06,2460.32,200.0,denoising,low,
244,M88,4,1778698.09,5.3e-05,1.4714,2621633.84,1668.12,200.0,denoising,low,
245,M88,5,2474958.61,6.4e-05,1.6692,2212735.83,436.17,200.0,denoising,low,
246,M88,6,2060697.84,3.2e-05,1.6846,2085562.48,2575.28,200.0,signal_enhancement,low,
247,M88,7,850625.66,6.9e-05,2.0822,1652256.34,2646.8,200.0,denoising,low,
248,M88,8,1173778.18,7.5e-05,2.0098,1162524.96,1756.8,200.0,signal_enhancement,low,
249,M88,9,1320429.62,5.5e-05,2.2323,1233412.22,2052.78,200.0,signal_enhancement,low,
250,M94,0,1193838.95,8e-06,0.6849,1897051.94,2010.09,200.0,signal_enhancement,low,
251,M94,1,667070.92,1.4e-05,0.6158,616732.43,1128.85,200.0,signal_enhancement,low,0.0
252,M94,2,594209.77,5e-06,0.7732,1518494.5,466.02,200.0,signal_enhancement,low,
253,M94,3,805969.78,1.2e-05,0.7967,1871024.32,1453.46,200.0,denoising,low,
254,M94,4,1679308.74,1e-05,1.2564,1860589.34,1374.54,200.0,denoising,low,
255,M94,5,1434049.4,1.4e-05,0.8234,1442048.48,1698.85,200.0,signal_enhancement,low,
256,M94,6,1648587.82,1.2e-05,0.7533,2554282.28,1959.8,200.0,denoising,low,
257,M94,7,2329376.55,4e-06,1.2432,2154472.54,1060.21,200.0,denoising,low,
258,M94,8,1512898.04,7e-06,1.325,2254184.93,1863.16,200.0,denoising,low,
259,M94,9,1993477.89,1e-05,1.7272,1573263.22,1486.22,200.0,denoising,low,
260,M94,0,969515.5,2.2e-05,2.3604,1950302.64,3132.98,200.0,denoising,low,
261,M94,1,1953152.65,2.6e-05,2.1621,2222301.86,1315.29,200.0,denoising,low,0.0
262,M94,2,1409452.54,1.5e-05,1.1312,1630180.88,1176.56,200.0,signal_enhancement,low,
263,M94,3,1688506.08,1.7e-05,1.9616,2287138.53,1191.06,200.0,signal_enhancement,low,
264,M94,4,2657161.58,2.6e-05,1.7328,2567660.37,2297.29,200.0,denoising,low,
265,M94,5,1610503.61,2.3e-05,0.8939,2207789.66,1663.18,200.0,denoising,low,
266,M94,6,1355260.95,2.3e-05,2.4296,883297.92,2526.13,200.0,denoising,low,5.0
267,M94,7,2281296.88,2.2e-05,1.6298,2078933.56,1226.08,200.0,signal_enhancement,low,3.0
268,M94,8,1637963.37,2.5e-05,1.6754,1673982.2,2124.7,200.0,denoising,low,2.0
269,M94,9,1549650.92,2.9e-05,2.6323,1970212.27,1953.4,200.0,signal_enhancement,low,
270,M94,0,1669088.52,2.1e-05,1.3789,2194486.58,1932.91,200.0,signal_enhancement,low,
271,M94,1,982925.79,1.1e-05,1.7126,2725057.26,1504.81,200.0,denoising,low,
272,M94,2,798966.85,1.2e-05,2.0743,2483293.95,1701.09,200.0,signal_enhancement,low,
273,M94,3,1530986.72,5e-06,2.7784,2635180.45,1701.44,200.0,signal_enhancement,low,
274,M94,4,1166145.0,1.9e-05,2.3187,2156610.12,1497.11,200.0,signal_enhancement,low,
275,M94,5,781225.89,1.9e-05,2.1021,950307.45,1967.7,200.0,signal_enhancement,low,
276,M94,6,718076.94,1.3e-05,1.7768,1698445.43,1996.55,200.0,denoising,low,
277,M94,7,1590623.32,1.1e-05,1.3328,2332761.35,2489.64,200.0,denoising,low,
278,M94,8,1876106.0,8e-06,2.9542,2911148.27,818.11,200.0,denoising,low,
279,M94,9,1738677.38,1.6e-05,2.0566,1301100.2,1096.67,200.0,signal_enhancement,low,
280,M90,0,1260825.39,9e-06,2.1861,2544623.43,1713.84,200.0,signal_enhancement,low,
281,M90,1,770280.48,1.5e-05,2.1605,2096427.4,509.4,200.0,denoising,low,
282,M90,2,945020.95,1.7e-05,2.2824,3442007.71,1845.83,200.0,denoising,low,
283,M90,3,1039132.44,1e-05,1.5692,2552551.24,1405.83,200.0,denoising,low,
284,M90,4,1752976.55,1.1e-05,1.3014,2329468.88,1138.55,200.0,signal_enhancement,low,
285,M90,5,1367805.36,1.9e-05,2.0012,1528449.38,1683.49,200.0,signal_enhancement,low,
286,M90,6,1719550.85,2.4e-05,1.5525,2965389.69,1403.21,200.0,denoising,low,
